F1,F2,Class,F3,F4
22.30189258,30.59778455,Tumor,BT_S2,Immune
-24.67467291,21.00675964,Tumor,BT_S2,Immune
4.632530991,38.60231214,Tumor,BT_S2,Immune
-27.19237618,21.49607714,Tumor,BT_S2,Immune
15.87986461,8.150721329,Tumor,BT_S2,Immune
-21.28627667,1.342734445,Tumor,BT_S2,Immune
5.381431123,22.33395478,Tumor,BT_S2,Immune
11.67999433,27.61027072,Tumor,BT_S2,Immune
12.28556242,25.71171262,Tumor,BT_S2,Immune
-7.81738295,-8.755266473,Tumor,BT_S2,Immune
12.03165877,32.78357554,Tumor,BT_S2,Immune
21.08885874,38.03811908,Tumor,BT_S2,Immune
-22.40757981,-2.335021501,Tumor,BT_S2,Immune
-2.724574715,11.75575586,Tumor,BT_S2,Immune
-11.46937804,3.272705796,Tumor,BT_S2,Immune
-25.70024751,20.55978756,Tumor,BT_S2,Immune
5.044204771,32.17429196,Tumor,BT_S2,Immune
-14.93752904,9.592561816,Tumor,BT_S2,Immune
-4.92040928,32.31020718,Tumor,BT_S2,Immune
-2.035416924,19.73598801,Tumor,BT_S2,Immune
-19.70869689,-6.418225218,Tumor,BT_S2,Immune
-24.7558148,21.80978301,Tumor,BT_S2,Immune
15.81100537,35.0637965,Tumor,BT_S2,Immune
4.484982456,13.07294134,Tumor,BT_S2,Immune
15.29512165,42.6709716,Tumor,BT_S2,Immune
-10.95237415,22.52730911,Tumor,BT_S2,Immune
6.400562455,33.63105657,Tumor,BT_S2,Immune
12.99810259,30.99134107,Tumor,BT_S2,Immune
15.5127874,23.89868081,Tumor,BT_S2,Immune
-4.957065168,11.68122051,Tumor,BT_S2,Immune
-18.60836884,22.25226205,Tumor,BT_S2,Immune
9.978775405,44.26104672,Tumor,BT_S2,Immune
-26.28572132,20.92503685,Tumor,BT_S2,Immune
16.55565937,38.76191546,Tumor,BT_S2,Immune
6.930542439,28.52564712,Tumor,BT_S2,Immune
29.31885878,44.51789689,Tumor,BT_S2,Immune
14.25435438,22.32259271,Tumor,BT_S2,Immune
-11.64159022,23.19919375,Tumor,BT_S2,Immune
-28.92718765,9.35687267,Tumor,BT_S2,Immune
-6.753911499,-12.20255644,Tumor,BT_S2,Immune
3.668932206,21.13634123,Tumor,BT_S2,Immune
16.14790365,38.50128876,Tumor,BT_S2,Immune
9.795551659,37.15333941,Tumor,BT_S2,Immune
-26.35122761,21.04739632,Tumor,BT_S2,Immune
-5.887345059,15.76099972,Tumor,BT_S2,Immune
-0.498529035,7.798784401,Tumor,BT_S2,Immune
-20.99071622,1.652895511,Tumor,BT_S2,Immune
-20.70665711,10.26805431,Tumor,BT_S2,Immune
8.31783526,43.76608717,Tumor,BT_S2,Immune
5.323697712,39.16980884,Tumor,BT_S2,Immune
-24.69138103,20.00528282,Tumor,BT_S2,Immune
19.76333302,37.28200028,Tumor,BT_S2,Immune
-11.32740051,11.52851856,Tumor,BT_S2,Immune
12.19305048,34.71415046,Tumor,BT_S2,Immune
5.548251504,33.4130039,Tumor,BT_S2,Immune
-9.952803328,8.273388515,Tumor,BT_S2,Immune
-14.75308698,9.950102085,Tumor,BT_S2,Immune
16.36154436,37.12537611,Tumor,BT_S2,Immune
-4.238005457,18.76471595,Tumor,BT_S2,Immune
6.321016905,36.68958093,Tumor,BT_S2,Immune
-4.003987022,19.54779228,Tumor,BT_S2,Immune
42.26774613,24.12478382,Tumor,BT_S2,Immune
9.852406037,38.84446527,Tumor,BT_S2,Immune
4.247181646,35.33050663,Tumor,BT_S2,Immune
-24.8298517,14.82760634,Tumor,BT_S2,Immune
7.669361379,12.62708017,Tumor,BT_S2,Immune
-8.75256537,-3.457859952,Tumor,BT_S2,Immune
-19.15122748,3.576924951,Tumor,BT_S2,Immune
-26.34907704,3.560182994,Tumor,BT_S2,Immune
-14.04981148,0.835887242,Tumor,BT_S2,Immune
16.4369085,37.65668541,Tumor,BT_S2,Immune
3.033555322,33.7904465,Tumor,BT_S2,Immune
-25.46975154,22.62372242,Tumor,BT_S2,Immune
5.18096392,37.63567848,Tumor,BT_S2,Immune
-26.34873069,21.98981179,Tumor,BT_S2,Immune
11.90357211,30.58256988,Tumor,BT_S2,Immune
-22.8479519,22.30401717,Tumor,BT_S2,Immune
14.73739444,38.14031882,Tumor,BT_S2,Immune
-7.261970097,39.50277935,Tumor,BT_S2,Immune
-2.485042542,-4.242650746,Tumor,BT_S2,Immune
-25.95123717,20.28201363,Tumor,BT_S2,Immune
-27.63201871,22.14877624,Tumor,BT_S2,Immune
-21.74517246,22.36050958,Tumor,BT_S2,Immune
12.66689257,23.82264804,Tumor,BT_S2,Immune
14.58506728,21.85469104,Tumor,BT_S2,Immune
4.891424403,37.20466558,Tumor,BT_S2,Immune
10.19257678,29.44893931,Tumor,BT_S2,Immune
7.356574909,35.77820851,Tumor,BT_S2,Immune
18.39512828,38.1906875,Tumor,BT_S2,Immune
-11.79692757,2.681888965,Tumor,BT_S2,Immune
-15.05697768,4.197622285,Tumor,BT_S2,Immune
-20.85360451,-3.54900799,Tumor,BT_S2,Immune
-4.896388253,10.29178221,Tumor,BT_S2,Immune
5.090973978,38.51906766,Tumor,BT_S2,Immune
9.553044649,36.37182081,Tumor,BT_S2,Immune
-13.25325938,3.501210841,Tumor,BT_S2,Immune
